arrival_time_s,packet_size_bytes,backlog_bytes,departure_time_s,waiting_time_s,dropped,cum_drops
1.062164875,7,26752,1.28013575,0.217970875,0,0
1.062166959,7,26759,1.28019175,0.218024791,0,0
1.062221542,102,26766,1.28100775,0.218786208,0,0
1.062224042,102,26868,1.28182375,0.219599708,0,0
1.062327459,152,26970,1.28303975,0.220712291,0,0
1.06233,152,27122,1.28425575,0.22192575,0,0
1.062483042,33,27274,1.28451975,0.222036708,0,0
1.062485625,33,27307,1.284846209,0.222360584,0,0
1.063671,98,27317,1.285630209,0.221959209,0,0
1.0636745,98,27415,1.286414209,0.222739709,0,0
1.063676709,118,27513,1.287358209,0.2236815,0,0
1.063681125,118,27631,1.288302209,0.224621084,0,0
1.063854417,131,27726,1.289350209,0.225495792,0,0
1.064038375,131,27785,1.290398209,0.226359834,0,0
1.064041417,14,27916,1.290510209,0.226468792,0,0
1.064043542,14,27930,1.290622209,0.226578667,0,0
1.064614709,22,27872,1.290798209,0.2261835,0,0
1.064618209,22,27894,1.290974209,0.226356,0,0
1.064620417,164,27916,1.292286209,0.227665792,0,0
1.065190167,164,28057,1.293598209,0.228408042,0,0
1.065193209,340,28221,1.296318209,0.231125,0,0
1.065195375,340,28561,1.299038209,0.233842834,0,0
1.06537625,49,28878,1.299430209,0.234053959,0,0
1.065379917,49,28927,1.299850459,0.234470542,0,0
1.065557584,260,28976,1.301930459,0.236372875,0,0
1.065562,260,29145,1.304010459,0.238448459,0,0
1.065564667,231,29405,1.305858459,0.240293792,0,0
1.065567625,231,29636,1.307706459,0.242138834,0,0
1.065570667,139,29867,1.308818459,0.243247792,0,0
1.065573167,139,30006,1.309930459,0.244357292,0,0
1.065575917,91,30145,1.310658459,0.245082542,0,0
1.0655795,91,30236,1.311386459,0.245806959,0,0
1.0655825,20,30327,1.311546459,0.245963959,0,0
1.065585875,20,30347,1.311706459,0.246120584,0,0
1.065587792,122,30367,1.312682459,0.247094667,0,0
1.065596042,122,30489,1.313658459,0.248062417,0,0
1.065600167,5,30611,1.313698459,0.248098292,0,0
1.065605625,5,30616,1.313738459,0.248132834,0,0
1.066286292,168,30530,1.315097334,0.248811042,0,0
1.06628925,168,30698,1.316441334,0.250152084,0,0
1.066291209,10,30866,1.316521334,0.250230125,0,0
1.067013584,10,30876,1.316601334,0.24958775,0,0
1.067017292,191,30730,1.318129334,0.251112042,0,0
1.067020167,191,30921,1.319657334,0.252637167,0,0
1.067027459,254,31112,1.321689334,0.254661875,0,0
1.067031584,254,31366,1.323721334,0.25668975,0,0
1.067034667,111,31620,1.324609334,0.257574667,0,0
1.067042125,111,31731,1.325497334,0.258455209,0,0
1.067044959,324,31842,1.328089334,0.261044375,0,0
1.067048292,324,32166,1.330681334,0.263633042,0,0
1.0671415,186,32334,1.332169334,0.265027834,0,0
1.067144292,186,32520,1.333657334,0.266513042,0,0
1.067485917,103,32706,1.334481334,0.266995417,0,0
1.067488375,103,32809,1.335305334,0.267816959,0,0
1.06749025,55,32912,1.335745334,0.268255084,0,0
1.06749225,55,32967,1.336185334,0.268693084,0,0
1.067629709,166,33022,1.337513334,0.269883625,0,0
1.067660375,166,33188,1.338841334,0.271180959,0,0
1.067830959,155,33354,1.340081334,0.272250375,0,0
1.067863292,155,33509,1.341321334,0.273458042,0,0
1.067984334,147,33664,1.342497334,0.274513,0,0
